센터명,시도,시군구,우편번호,주소1,주소2,대표전화번호,FAX번호,홈페이지
곡성군학교밖청소년지원센터,전라남도,곡성군,57504,전라남도 곡성군,"옥과면 리문5길 11-5, 옥과청소년문화의집 5층  ",061-363-9584,비어있음,비어있음
구례군학교밖청소년지원센터,전라남도,구례군,57636,전라남도 구례군,"구례읍 구례로 508, 2층 청소년상담복지센터  ",061-782-0881,비어있음,http://www.gr1388.kr/
고흥군학교밖청소년지원센터,전라남도,고흥군,59535,전라남도 고흥군,"고흥읍 고흥로 1793 , 고흥군문화의집 2층 학교밖청소년지원센터",061-830-6056,비어있음,비어있음
보성군학교밖청소년지원센터,전라남도,보성군,59453,전라남도 보성군,"보성읍 송재로 281-7, 보성군청소년문화의집 2층  ",061-853-1377,061-853-1385,http://www.bs1388.co.kr/
화순군학교밖청소년지원센터,전라남도,화순군,58114,전라남도 화순군,화순읍 쌍충로 118-4 화순군청소년수련관 3층 학교밖청소년지원센터,061-375-7443,061-375-7441,http://www.hs1388.or.kr/
장흥군학교밖청소년지원센터,전라남도,장흥군,59327,전라남도 장흥군,"장흥읍 흥성로 37-23, 2층   ",061-863-1318,비어있음,비어있음
강진군학교밖청소년지원센터,전라남도,강진군,59226,전라남도 강진군,"강진읍 청렴길 1, 강진군청소년수련관 3층  ",061-432-1388,비어있음,http://www.gjyouth.co.kr/
해남군학교밖청소년지원센터,전라남도,해남군,59028,전라남도 해남군,"해남읍 수성2길 9, 2층   ",061-535-1315,비어있음,비어있음
영암군학교밖청소년지원센터,전라남도,영암군,58418,전라남도 영암군,"영암읍 영암로 1511, 영암군청소년센터 2층  ",061-470-6792,비어있음,비어있음
무안군학교밖청소년지원센터,전라남도,무안군,58528,전라남도 무안군 무안읍 면성1길 130,무안군복합문화센터4층,061-450-5527,비어있음,비어있음
함평군학교밖청소년지원센터,전라남도,함평군,57149,전라남도 함평군 함평읍 중앙길 212,비어있음,061-323-9995,비어있음,http://nownow1388.or.kr/
영광군학교밖청소년지원센터,전라남도,영광군,57044,전라남도 영광군 영광읍 물무로 84,정주새마을금고 2층,061-353-6188,비어있음,비어있음
장성군학교밖청소년지원센터,전라남도,장성군,57220,전라남도 장성군 장성읍 역전로 199-10,3층 학교밖청소년지원센터,061-393-1387,061-394-7179,http://js1388.or.kr
완도군학교밖청소년지원센터,전라남도,완도군,59115,전라남도 완도군,"완도읍 개포로 159번길 41, 완도군청소년문화의집 2층 ",061-555-2323,061-555-4201,https://wd1388.or.kr/
진도군학교밖청소년지원센터,전라남도,진도군,58926,전라남도 진도군 진도읍 진도대로 7213,3층 진도군학교밖청소년지원센터,061-540-3181,비어있음,비어있음
신안군학교밖청소년지원센터,전라남도,신안군,58827,전라남도 신안군,압해읍 압해로 876-22 가족센터 1층,061-240-8702,061-240-8780,http://www.shinan1388.com/
경상북도학교밖청소년지원센터,경상북도,안동시,36708,경상북도 안동시 축제장길 20 (옥야동),비어있음,054-850-1003,비어있음,비어있음
포항시학교밖청소년지원센터,경상북도,포항시,37601,경상북도 포항시,북구 삼호로 533 청소년 수련관 2층,054-240-9171,비어있음,비어있음
경주시학교밖청소년지원센터,경상북도,경주시,38088,경상북도 경주시,알천북로 131,054-760-7773,비어있음,비어있음
김천시학교밖청소년지원센터,경상북도,김천시,39518,경상북도 김천시,"문당길 142, 청소년문화의집 3층   ",054-434-1399,비어있음,비어있음
안동시학교밖청소년지원센터,경상북도,안동시,36708,경상북도 안동시,"축제장길42, 안동시청소년수련관 2층    ",054-841-7937,비어있음,비어있음
구미시학교밖청소년지원센터,경상북도,구미시,39221,경상북도 구미시,구미중앙로 11길 13,054-472-2000,비어있음,비어있음
영주시학교밖청소년지원센터,경상북도,영주시,36073,경상북도 영주시,광복로 63 영주청소년문화의집 2층,054-634-1324,비어있음,비어있음
영천시학교밖청소년지원센터,경상북도,영천시,38844,경상북도 영천시,"운동장로 92, 청소년수련관 2F   ",054-338-2000,비어있음,비어있음
상주시학교밖청소년지원센터,경상북도,상주시,37195,경상북도 상주시,"왕산로 219-11, 상주시청소년상담복지센터 2층   ",054-534-3511,비어있음,비어있음
문경시학교밖청소년지원센터,경상북도,문경시,36949,경상북도 문경시,"중앙로 50, 문경시드림스타트 건물 3층  ",054-556-3000,비어있음,비어있음
경산시학교밖청소년지원센터,경상북도,경산시,38678,경상북도 경산시 경산로 159-5 (옥산동),3층,053-819-6400,비어있음,비어있음
고령군학교밖청소년지원센터,경상북도,고령군,40137,경상북도 고령군 대가야읍 향교길 25,대가야행복드림1층,054-956-1320,비어있음,비어있음
칠곡군학교밖청소년지원센터,경상북도,칠곡군,39885,경상북도 칠곡군,"왜관읍 2번도로길 83, 1층   ",054-971-0425,비어있음,비어있음
봉화군학교밖청소년지원센터,경상북도,봉화군,36238,경상북도 봉화군,"봉화읍 내성로1길 17-20, 2층   ",054-674-1318,비어있음,http://bhw1318.or.kr/web/
울진군학교밖청소년지원센터,경상북도,울진군,36324,경상북도 울진군,"울진읍 대나리항길 2, 울진군청소년수련관 2층  ",054-789-5436,비어있음,비어있음
경상남도학교밖청소년지원센터,경상남도,창원시 의창구,51138,경상남도 창원시 의창구 사림로45번길 59 (사림동),", 경남대표도서관 청소년관 3,4층",055-711-1336,055-711-1330,http://kdream.gnyouth.net/
창원시창원학교밖청소년지원센터,경상남도,창원시 성산구,51412,경상남도 창원시 성산구 두대로 97 (삼동동),3층 창원시창원학교밖청소년지원센터,055-225-3907,055-273-2012,비어있음
창원시마산학교밖청소년지원센터,경상남도,창원시 마산회원구,51358,경상남도 창원시 마산회원구,"팔용로 128, 별관 2층  ",055-225-7292,비어있음,비어있음
창원시진해학교밖청소년지원센터,경상남도,창원시 진해구,51629,경상남도 창원시 진해구,"진해대로 1101, 진해종합사회복지관 203호  ",055-225-3893,비어있음,비어있음
진주시학교밖청소년지원센터,경상남도,진주시,52686,경상남도 진주시,북장대로 6번길 9(인사동) 청소년상담복지센터 2층,055-749-7939,비어있음,비어있음
통영시학교밖청소년지원센터,경상남도,통영시,53040,경상남도 통영시 해미당1길 33 (무전동),5층 통영시학교밖청소년지원센터,055-641-0079,비어있음,비어있음
사천시학교밖청소년지원센터,경상남도,사천시,52561,경상남도 사천시,"문선4길 23, 사천시청소년수련관 3층   ",055-831-4570,비어있음,https://www.youthsacheon.com/
김해시학교밖청소년지원센터,경상남도,김해시,50912,경상남도 김해시,가락로 176번길 3,055-314-1388,비어있음,https://www.gimhae.go.kr/00976/01487/04820.web
밀양시학교밖청소년지원센터,경상남도,밀양시,50436,경상남도 밀양시,"삼문송림길26, 청소년수련관2층     ",055-352-0924,비어있음,http://www.miryang1388.kr/
거제시학교밖청소년지원센터,경상남도,거제시,53257,경상남도 거제시 계룡로 175 (고현동),"1층, 거제시학교밖청소년지원센터",055-639-4801,비어있음,https://www.geoje.go.kr/youthplatform/main.html
양산시학교밖청소년지원센터,경상남도,양산시,50520,경상남도 양산시,"웅상대로 1009-2, 지하1층    ",055-367-1318,055-392-2539,비어있음
의령군학교밖청소년지원센터,경상남도,의령군,52151,경상남도 의령군,"의령읍 의령대로 1577-25, 청소년문화의집 2층  ",055-570-4972,비어있음,비어있음
함안군학교밖청소년지원센터,경상남도,함안군,52046,경상남도 함안군,"가야읍 말산1길 10, 청소년수련관 2층  ",055-583-0921,비어있음,비어있음
창녕군학교밖청소년지원센터,경상남도,창녕군,50332,경상남도 창녕군,"창녕읍 화왕산1로 46, 창녕청소년수련관 5층  ",055-532-2000,비어있음,비어있음
고성군학교밖청소년지원센터,경상남도,고성군,52936,경상남도 고성군,"고성읍 성내로 61, 고성군청소년센터 '온' 3층 ",055-670-2967,비어있음,비어있음
남해군학교밖청소년지원센터,경상남도,남해군,52419,경상남도 남해군,남해읍 망운로 32 종합사회복지관 3층,055-864-7962,비어있음,비어있음
하동군학교밖청소년지원센터,경상남도,하동군,52326,경상남도 하동군,하동읍 중앙로 72 청소년수련관 2층,055-884-3001,055-883-7554,비어있음
산청군학교밖청소년지원센터,경상남도,산청군,52226,경상남도 산청군,산청읍 웅석봉로 92 산청군청소년수련관 2층,055-970-6596,비어있음,비어있음
함양군학교밖청소년지원센터,경상남도,함양군,50046,경상남도 함양군 함양읍 용평4길 13,4층 함양군학교밖청소년지원센터,055-960-4972,비어있음,비어있음
거창군학교밖청소년지원센터,경상남도,거창군,50130,경상남도 거창군,거창읍 교촌길 100-30 청소년수련관3층,055-940-8860,비어있음,비어있음
합천군학교밖청소년지원센터,경상남도,합천군,50231,경상남도 합천군,"경남 합천군 합천읍 옥산로 96-5 (합천리, 청소년문화의집)",055-930-3909,비어있음,비어있음
제주특별자치도학교밖청소년지원센터,제주특별자치도,제주시,63218,제주특별자치도 제주시 고마로 152 (이도이동),", 2층",064-759-9982,비어있음,http://jejukdream.or.kr
제주시학교밖청소년지원센터,제주특별자치도,제주시,63097,제주특별자치도 제주시,"월랑북길 38, 4층",064-744-5999,064-743-5999,비어있음
서귀포시학교밖청소년지원센터,제주특별자치도,서귀포시,63590,제주특별자치도 서귀포시,"일주동로 8643, 2층(서귀동)    ",비어있음,비어있음,비어있음
연천군학교밖청소년지원센터,경기도,연천군,11012,경기도 연천군 연천읍 문화로 140,2층 연천군학교밖청소년지원센터,031-834-1388,비어있음,비어있음
평창군학교밖청소년지원센터,강원특별자치도,평창군,25377,강원특별자치도 평창군 평창읍 종부로 61,3층,033-335-7922,033-332-1318,https://www.pc1388.or.kr
